POÇO ANP,BLOCO,BACIA,ESTADO,AMBIENTE,OPERADOR,INÍCIO DA PERFURAÇÃO,CONCLUSÃO DO POÇO,NOTIFICAÇÃO DE DESCOBERTA ?,DATA DA NOTIFICAÇÃO DE DESCOBERTA
1-RNB-4-AM,SOL-T-191,Solimões,AM,TERRA,Rosneft,2019-05-14 12:00:00,2019-06-30 00:00:00,Não,
1-ENV-3-MA,PN-T-87,Parnaíba,MA,TERRA,Eneva,2019-05-04 06:00:00,2019-05-11 00:00:00,Não,
1-ENV-1-MA,PN-T-103,Parnaíba,MA,TERRA,Eneva,2019-04-15 14:00:00,2019-04-27 00:00:00,Sim,2019-04-29 00:00:00
1-ENV-2-MA,PN-T-103,Parnaíba,MA,TERRA,Eneva,2019-03-20 13:00:00,2019-04-10 00:00:00,Não,
3-BRSA-1367-SES,BM-SEAL-4,Sergipe,SE,MAR,Petrobras,2019-03-13 16:51:00,2019-06-18 00:00:00,Sim,2019-04-17 00:00:00
3-EQNR-3-SPS,N_CARCARA,Santos,SP,MAR,Equinor Brasil,2019-02-08 07:45:00,2019-08-17 00:00:00,Sim,2019-03-27 00:00:00
1-BRSA-1366D-BA,REC-T-80,Recôncavo,BA,TERRA,Petrobras,2018-12-24 07:30:00,2019-01-25 00:00:00,Sim,2019-01-22 00:00:00
1-GREN-1D-BA,REC-T-108,Recôncavo,BA,TERRA,Great Energy,2018-12-21 18:00:00,2020-01-21 00:00:00,Sim,2019-10-16 00:00:00
1-GPK-4D-BA,REC-T-128,Recôncavo,BA,TERRA,Geopark Brasil,2018-12-12 06:00:00,2019-01-23 00:00:00,Sim,2019-11-29 00:00:00
4-PGN-30-MA,PN-T-49,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-11-16 04:00:00,2018-11-25 00:00:00,Não,
1-BRSA-1363-RJS,PEROBA,Santos,RJ,MAR,Petrobras,2018-10-24 19:55:00,2019-02-05 00:00:00,Sim,2019-02-22 00:00:00
3-PGN-29-MA,PN-T-102,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-10-24 15:00:00,2018-11-08 00:00:00,Sim,2018-11-09 00:00:00
1-OPEO-2-MA,PN-T-114,Parnaíba,MA,TERRA,3R Candeias,2018-09-30 02:00:00,2018-10-22 00:00:00,Sim,2018-10-18 00:00:00
1-PGN-28-MA,PN-T-103,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-09-27 12:00:00,2018-10-16 00:00:00,Não,
3-EQNR-1-SPS,N_CARCARA,Santos,SP,MAR,Equinor Brasil,2018-09-13 07:00:00,2019-02-04 00:00:00,Sim,2018-12-27 00:00:00
1-BRSA-1362-MA,PN-T-86,Parnaíba,MA,TERRA,Petrobras,2018-09-07 16:00:00,2018-10-18 00:00:00,Não,
3-RNB-3-AM,SOL-T-170,Solimões,AM,TERRA,Rosneft,2018-09-06 00:15:00,2018-12-26 00:00:00,Sim,2018-11-21 00:00:00
3-PGN-27D-MA,PN-T-102,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-08-15 06:00:00,2018-09-04 00:00:00,Não,
1-STAT-10C-SPS,BM-S-8,Santos,SP,MAR,Equinor Brasil,2018-08-10 04:15:00,2018-09-08 00:00:00,Não,
1-OPEO-1-PI,PN-T-137,Parnaíba,PI,TERRA,3R Candeias,2018-08-02 03:30:00,2018-09-14 00:00:00,Não,
1-STAT-10B-SPS,BM-S-8,Santos,SP,MAR,Equinor Brasil,2018-07-30 13:00:00,2018-09-08 00:00:00,Não,
4-PGN-26D-MA,PN-T-48,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-07-27 00:00:00,2018-08-03 00:00:00,Não,
4-PGN-25-MA,PN-T-49,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-07-12 02:00:00,2018-07-20 00:00:00,Sim,2018-07-20 00:00:00
1-IMET-24-AL,SEAL-T-50,Alagoas,AL,TERRA,Imetame,2018-06-23 19:00:00,2018-09-07 00:00:00,Não,
4-PGN-24-MA,PN-T-49,Parnaíba,MA,TERRA,Parnaíba Gás Natural,2018-06-13 04:00:00,2018-06-23 00:00:00,Não,
1-BRSA-1361-AL,SEAL-T-198,Alagoas,AL,TERRA,Petrobras,2018-05-18 02:30:00,2018-06-25 00:00:00,Não,
